county_fips,county_name,population,adult_population,uninsured_places_pct,diabetes_pct,obesity_pct,high_blood_pressure_pct,smoking_pct,physical_inactivity_pct,poor_physical_health_pct,poor_mental_health_pct,depression_pct,svi_population,poverty_150_pct,unemployment_svi_pct,uninsured_svi_pct,disability_pct,single_parent_pct,no_vehicle_pct,no_internet_pct,svi_socioeconomic,svi_household,svi_minority_language,svi_housing_transportation,svi_overall,low_birth_weight_pct,uninsured_count,uninsured_chr_pct,primary_care_physicians_count,primary_care_physicians_rate,primary_care_physicians_ratio,mental_health_providers_count,mental_health_providers_rate,mental_health_providers_ratio,severe_housing_problems_pct,severe_housing_cost_burden_pct,children_in_poverty_pct,food_environment_index,broadband_access_pct,broadband_access_count,child_care_cost_burden_pct
28143,Tunica,"9,458","6,844",14.5,19.8,50.2,50.7,24.0,42.3,18.4,20.3,20.5,9787,48.7,12.2,13.1,10.5,12.8,9.5,16.0,0.8889,0.2469,0.963,0.9383,0.8765,15,934,12,1.0,10.0,9696:01:00,3.0,32.0,3078:01:00,33,24,42,6.4,84,3011,39
28085,Lincoln,"34,717","26,769",9.6,16.0,43.1,44.9,20.4,34.0,15.7,18.0,21.4,34855,30.9,4.3,13.9,14.9,6.0,4.4,19.3,0.1975,0.0741,0.2222,0.5802,0.1111,12,3896,14,14.0,40.0,2496:01:00,51.0,147.0,680:01:00,16,11,24,6.6,83,10752,23
28065,Jefferson Davis,"11,088","8,875",9.2,20.2,43.3,52.6,19.3,37.6,16.6,16.3,19.0,11291,37.7,9.2,12.7,21.3,6.8,7.0,29.4,0.716,0.358,0.7531,0.3333,0.5556,15,1111,14,3.0,27.0,3711:01:00,14.0,128.0,784:01:00,18,14,38,6.5,75,3301,31
28149,Warren,"42,649","32,730",10.1,15.7,41.8,47.6,17.2,31.4,14.2,16.3,19.8,44341,26.7,4.7,11.2,19.8,7.6,6.5,21.4,0.1358,0.7407,0.6914,0.2716,0.3457,14,3946,12,29.0,67.0,1503:01:00,263.0,622.0,161:01:00,15,13,32,6.8,81,13558,21
28021,Claiborne,"8,805","6,919",9.9,19.6,49.2,51.5,18.4,37.4,16.5,19.0,18.7,9044,49.0,9.0,19.5,12.3,3.9,12.0,25.6,0.8272,0.0123,1.0,0.9753,0.7284,18,710,12,4.0,45.0,2227:01:00,6.0,70.0,1436:01:00,12,11,42,6.4,77,2195,42
28129,Smith,"14,092","10,891",10.8,16.6,41.7,46.3,21.0,36.5,16.7,17.9,22.3,14310,32.1,3.5,15.0,20.5,8.1,6.8,45.3,0.2593,0.642,0.1605,0.4938,0.358,11,1519,14,1.0,7.0,14191:1,2.0,14.0,7050:01:00,9,6,24,6.9,58,3127,23
28035,Forrest,"78,110","60,593",9.0,13.1,41.7,38.8,15.1,29.4,12.9,17.4,22.1,77917,34.9,7.4,11.4,20.2,9.3,8.0,17.9,0.4938,0.3827,0.5062,0.9012,0.6173,14,7273,12,68.0,87.0,1145:01:00,411.0,526.0,190:01:00,15,13,21,6.1,84,25114,29
28139,Tippah,"21,431","16,438",12.0,14.3,41.7,44.7,20.1,34.4,15.5,18.0,22.7,21769,33.6,6.0,14.2,20.9,6.4,3.7,26.2,0.679,0.6543,0.1235,0.6173,0.6296,10,2896,17,2.0,9.0,10818:1,28.0,132.0,760:01:00,14,10,26,6.9,80,6348,23
28163,Yazoo,"25,948","20,365",16.7,17.1,45.6,48.1,23.6,38.3,16.7,18.6,19.7,27467,42.0,10.4,13.7,24.3,11.4,11.1,25.2,0.963,0.679,0.7901,0.9877,0.9753,15,2265,13,6.0,23.0,4396:01:00,55.0,213.0,469:01:00,15,12,34,4.6,74,6540,37
28059,Jackson,"144,975","112,299",9.3,13.2,38.4,42.2,16.6,27.2,13.1,15.9,21.2,143721,25.4,8.1,12.9,20.5,9.3,4.5,13.4,0.3457,0.7531,0.2469,0.1975,0.3704,10,14870,13,66.0,46.0,2182:01:00,263.0,180.0,557:01:00,14,13,18,6.2,88,50072,23
